Date Reported,Organization Name,Date of Breach,Number of Washingtonians Affected,Information Compromised
11/1/23,Mt. Hood Meadows Oreg LLC,2/21/23,2482,Name; Financial & Banking Information
10/31/23,"Nature’s Path Foods, Inc. (“Nature’s Path”)",1/7/23,516,Name; Social Security Number; Full Date of Birth
10/30/23,"Postmeds, Inc.",8/30/23,48861,Name; Social Security Number; Medical Information
10/27/23,"Resort Data Processing, Inc. (Roche Harbor Resort , Silver Cloud Hotel Tacoma at Point Ruston Waterfront)",8/1/22,2319,Name; Financial & Banking Information
10/27/23,NASCO,5/30/23,12986,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Other
10/24/23,Progressive Leasing,9/9/23,2582,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
10/23/23,New York Life,5/30/23,519,Name; Social Security Number; Full Date of Birth
10/19/23,"Chartis Group and Greeley Company, LLC",7/16/23,3,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
10/19/23,Revival Animal Health,11/24/21,1929,Name; Financial & Banking Information; Other
10/18/23,The Estée Lauder Companies Inc.,5/30/23,1453,Name; Full Date of Birth; Other
10/18/23,BHI Energy I Specialty Services LLC,5/30/23,1150,Name; Social Security Number; Health Insurance Policy or ID Number; Medical Information
10/17/23,"Greenpoint Technologies, Inc.",9/7/23,532,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number; Medical Information
10/13/23,"OrthoAlaska, LLC",9/6/22,1529,Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Health Insurance Policy or ID Number; Medical Information
10/10/23,Lennar Corporation,7/20/23,594,Name; Social Security Number; Full Date of Birth
10/10/23,The City of Lakewood,11/14/22,24219,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Unique Private Key (e.g. used to authenticate or sign an electronic record); Student ID Number; Passport Number; Health Insurance Policy or ID Number; Medical Information
10/6/23,Edmonds School District No. 15,1/16/23,143536,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Student ID Number; Passport Number; Health Insurance Policy or ID Number; Medical Information; Other
10/6/23,"Caesars Entertainment, Inc.",8/19/23,784234,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth
10/6/23,"Stanley Steemer International, Inc.",2/10/23,1258,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
10/5/23,"Flagstar Bank, NA",5/27/23,2412,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
10/5/23,Great Expressions Dental Centers,2/17/23,587,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number; Medical Information
10/5/23,MGM Resorts International,9/8/23,811740,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Passport Number; Other
10/4/23,DMS Health Technologies,3/27/23,1,Name; Full Date of Birth; Medical Information
10/4/23,Fidelity National Information Services/Emerald Financial Services,,15776,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth
10/3/23,"Coffee Meets Bagel, Inc.",8/27/23,7455,Name; Full Date of Birth; Other
9/26/23,Phh Mortgage Corporation,5/29/23,3145,Name; Social Security Number; Full Date of Birth
9/25/23,"Francesca's Acquisition, LLC",1/12/23,805,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
9/25/23,Data Media Associates,,657,Name; Social Security Number; Health Insurance Policy or ID Number; Medical Information
9/25/23,Spinal and Sports Care Clinic,6/9/23,1089,Name; Health Insurance Policy or ID Number; Medical Information
9/22/23,Financial Institution Service Corporation,5/30/23,2140,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number
9/22/23,LCS Financial Services,2/24/23,1823,Name; Social Security Number; Full Date of Birth
9/21/23,National Student Clearinghouse,5/30/23,5207,Name; Social Security Number; Full Date of Birth; Student ID Number; Other
9/20/23,"Aristocrat Technologies, Inc. and its affiliates",5/29/23,978,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth
9/15/23,"Radius Global Solutions, LLC",5/29/23,759,Name; Social Security Number; Full Date of Birth
9/15/23,"Upstream RollCo, LLC",1/24/23,14247,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
9/15/23,"Nuance Communications, Inc., o/b/o certain data controllers",5/28/23,7993,Name; Health Insurance Policy or ID Number; Medical Information
9/13/23,Honeywell International Inc.,5/27/23,2194,Name; Social Security Number
9/8/23,Aetna Life Insurance Company,5/29/23,2303,Name; Social Security Number; Full Date of Birth; Other
9/8/23,Pierce College District,7/23/23,155811,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth
9/7/23,"MedMinder Systems, Inc.",2/7/23,1252,Name; Full Date of Birth; Other
9/7/23,Lifeline Systems Company,7/27/22,509,Name; Social Security Number; Driver's License or Washington ID Card Number; Health Insurance Policy or ID Number; Medical Information
9/6/23,Delaware Life Insurance Company,5/29/23,4518,Name; Social Security Number; Full Date of Birth; Other
9/6/23,"Advance America, Cash Advance Centers of Washington, LLC",2/7/23,26092,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Passport Number
9/5/23,Johnson & Johnson Health Care Systems Inc. (“Janssen”),,53970,Name; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
9/5/23,North Star Tax & Accounting,,1979,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
9/5/23,Vivendi Ticketing US LLC d/b/a See Tickets,2/28/23,16450,Name; Financial & Banking Information
8/31/23,Topgolf Callaway Brands Corp.,8/1/23,14048,Name; Email Address and Password/Security Question Answers
8/31/23,UnitedHealthcare (Devine Joshua),12/1/22,18418,Name; Health Insurance Policy or ID Number
8/31/23,The Estée Lauder Companies Inc.,7/11/23,150535,Name; Full Date of Birth; Username and Password/Security Question Answers; Email Address and Password/Security Question Answers
8/30/23,CareSource,5/31/23,581,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Other
8/29/23,SERRV International,11/24/21,630,Name; Financial & Banking Information
8/29/23,F21 OpcO LLC (d/b/a Forever 21),1/5/23,9855,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
8/25/23,United Health Care (Harvard Pilgrim Health Care) (UnitedHealthcare),3/28/23,1025,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
8/25/23,TOG Hold Co. & Thirty One Gifts,,1611,Other
8/25/23,"Maximus, Inc.",5/27/23,23374,Name; Social Security Number; Full Date of Birth; Other
8/25/23,"Maximus, Inc.",5/27/23,23374,Name; Social Security Number; Full Date of Birth; Other
8/24/23,"Chevron Federal Credit Union (""CFCU"")",5/30/23,947,Name; Social Security Number; Financial & Banking Information; Full Date of Birth
8/24/23,New York Life Insurance Company,5/29/23,1622,Name; Social Security Number; Full Date of Birth
8/24/23,"NTT DATA Americas, Inc. on behalf of PBI Research Services",5/29/23,6228,Name; Social Security Number; Full Date of Birth
8/24/23,Cognisight (Providence ElderPlace - Washington),5/28/23,542,Name; Health Insurance Policy or ID Number; Medical Information
8/23/23,"Sovos Compliance, LLC (Barrett Business Services Inc., City Bank, Delta Dental of Iowa, Pacific Premier Bank)",5/27/23,11103,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth
8/23/23,Sun Life,5/29/23,4526,Name; Social Security Number; Full Date of Birth; Other
8/23/23,R&B Corporation of Virginia d/b/a Credit Control Corporation (Ziply Fiber),3/2/23,1564,Name; Social Security Number
8/22/23,Huntington Bank (Alogent),5/30/23,4000,Name; Financial & Banking Information
8/21/23,Unum Group,5/31/23,4186,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Other
8/21/23,Oak Ridge Associated Universities,5/28/23,1671,Name; Social Security Number; Medical Information
8/16/23,"Regal Securities, Inc",1/31/23,600,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Other
8/14/23,"Milliman, Inc.",5/29/23,2879,Name; Social Security Number; Full Date of Birth
8/14/23,Fidelity Life Association,5/29/23,3479,Name; Social Security Number; Full Date of Birth; Other
8/11/23,Hub International Limited,12/12/22,31755,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
8/11/23,"EP Global Production Solutions, LLC",,2758,Name; Social Security Number
8/11/23,"BrightSpring Health Services, Inc.",3/12/23,28194,Name; Social Security Number; Full Date of Birth
8/11/23,"Fidelity National Information Services, Inc. / Umpqua Bank",,145274,Name; Social Security Number
8/10/23,MassMutual Ascend Life Insurance Company,5/29/23,18675,Name; Social Security Number; Full Date of Birth; Other
8/10/23,"IEC Group Inc., dba AmeriBen",7/6/21,662,Name; Medical Information
8/9/23,"American National Group, LLC and its insurance subsidiaries",5/28/23,24345,Name; Social Security Number; Full Date of Birth; Medical Information
8/9/23,"Associated Materials, LLC",4/25/23,660,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number; Medical Information; Username and Password/Security Question Answers; Email Address and Password/Security Question Answers
8/9/23,Ernst & Young LLP,5/27/23,1129,Name; Social Security Number; Financial & Banking Information; Other
8/8/23,"TD Ameritrade, Inc. and Charles Schwab & Co., Inc.",5/28/23,1662,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Student ID Number; Passport Number; Health Insurance Policy or ID Number; Medical Information; Biometric Data; Username and Password/Security Question Answers; Email Address and Password/Security Question Answers; Other
8/4/23,MidFirst Bank,5/27/23,6097,Name; Social Security Number; Financial & Banking Information; Full Date of Birth
8/4/23,Hartford Life and Accident Insurance Company,5/29/23,17839,Name; Social Security Number; Full Date of Birth
8/3/23,"Etz Hayim Holdings, S.P.C. d/b/a Lazarus Natural",3/1/23,1940,Name; Financial & Banking Information
8/2/23,TIAA-CREF Life Insurance Company,5/29/23,904,Name; Social Security Number; Full Date of Birth; Other
8/1/23,HCA Healthcare,6/29/23,7500,Name; Full Date of Birth; Other
8/1/23,Progressive Casualty Insurance Company,,8325,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Other
7/28/23,"Hot Topic, Inc.",2/7/23,2348,Name; Email Address and Password/Security Question Answers; Other
7/28/23,Clear Spring Life and Annuity Company,11/30/22,1125,Name; Social Security Number; Full Date of Birth; Other
7/28/23,"Cupertino Electric, Inc.",6/14/23,884,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth
7/28/23,"TIAA Kaspick, LLC (""Kaspick"")",5/29/23,1235,Name; Social Security Number; Full Date of Birth
